epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.3125,1.863525390625,,
0,99,0.625,1.3218841552734375,,
0,149,0.625,0.884552001953125,,
0,199,0.75,0.6971092224121094,,
0,249,0.625,0.7768383026123047,,
0,299,0.8125,0.5887670516967773,,
0,349,1.0,0.2515225410461426,,
0,399,0.8125,0.467251181602478,,
0,449,0.9375,0.35756993293762207,,
0,499,0.875,0.2981395721435547,,
0,549,1.0,0.19806337356567383,,
0,599,1.0,0.04487502574920654,,
0,649,0.9375,0.1671420931816101,,
0,699,0.75,0.5378766655921936,,
0,749,1.0,0.15902268886566162,,
0,799,1.0,0.14934009313583374,,
0,849,0.9375,0.1697346568107605,,
0,899,0.875,0.32096928358078003,,
0,949,0.9375,0.26926159858703613,,
0,999,0.8125,0.4659644365310669,,
0,1049,1.0,0.07900718599557877,,
0,1099,0.9375,0.12129420042037964,,
0,1149,0.9375,0.10554218292236328,,
0,1199,0.875,0.23525357246398926,,
0,1249,0.9375,0.2210390567779541,,
0,1250,,,0.9503248333930969,0.14167693257331848
1,1299,1.0,0.025273673236370087,,
1,1349,0.9375,0.13951754570007324,,
1,1399,1.0,0.007776245474815369,,
1,1449,0.9375,0.2257603406906128,,
1,1499,0.875,0.33468279242515564,,
1,1549,0.9375,0.07547112554311752,,
1,1599,1.0,0.047038450837135315,,
1,1649,1.0,0.060829468071460724,,
1,1699,1.0,0.026243068277835846,,
1,1749,1.0,0.0404311865568161,,
1,1799,0.9375,0.14534629881381989,,
1,1849,0.875,0.28277984261512756,,
1,1899,1.0,0.010474614799022675,,
1,1949,1.0,0.011994488537311554,,
1,1999,1.0,0.010180249810218811,,
1,2049,1.0,0.009048335254192352,,
1,2099,1.0,0.019024737179279327,,
1,2149,1.0,0.00859137624502182,,
1,2199,1.0,0.042986609041690826,,
1,2249,1.0,0.07783947139978409,,
1,2299,1.0,0.03970392793416977,,
1,2349,1.0,0.030815795063972473,,
1,2399,1.0,0.03366844356060028,,
1,2449,1.0,0.014675885438919067,,
1,2499,1.0,0.031864434480667114,,
1,2501,,,0.9695152640342712,0.08912619203329086
2,2549,1.0,0.02884620428085327,,
2,2599,1.0,0.001295723021030426,,
2,2649,1.0,0.01542719453573227,,
2,2699,1.0,0.018907122313976288,,
2,2749,1.0,0.09132056683301926,,
2,2799,1.0,0.009996697306632996,,
2,2849,1.0,0.024700477719306946,,
2,2899,1.0,0.022770650684833527,,
2,2949,0.9375,0.20664280652999878,,
2,2999,1.0,0.0007105246186256409,,
2,3049,1.0,0.02133508026599884,,
2,3099,1.0,0.016977816820144653,,
2,3149,1.0,0.0031771212816238403,,
2,3199,1.0,0.0012444481253623962,,
2,3249,1.0,0.001047179102897644,,
2,3299,1.0,0.03321046382188797,,
2,3349,1.0,0.012845493853092194,,
2,3399,0.9375,0.19517679512500763,,
2,3449,0.9375,0.23794245719909668,,
2,3499,1.0,0.015583790838718414,,
2,3549,0.9375,0.08908580243587494,,
2,3599,1.0,0.0015023872256278992,,
2,3649,0.9375,0.24566206336021423,,
2,3699,1.0,0.012250393629074097,,
2,3749,1.0,0.00024797022342681885,,
2,3752,,,0.9648175835609436,0.12745065987110138
