epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.5625,1.62200927734375,,
0,99,0.25,1.757568359375,,
0,149,0.3125,1.54754638671875,,
0,199,0.3125,1.56317138671875,,
0,249,0.375,1.48828125,,
0,299,0.125,1.85662841796875,,
0,349,0.375,1.4624786376953125,,
0,399,0.5625,1.331878662109375,,
0,449,0.5,1.216644287109375,,
0,499,0.5625,0.968994140625,,
0,549,0.625,0.9267654418945312,,
0,599,0.6875,0.7645645141601562,,
0,649,0.625,1.1199169158935547,,
0,699,0.625,1.0476045608520508,,
0,749,0.625,0.8580780029296875,,
0,799,0.6875,0.6709327697753906,,
0,849,0.6875,0.9903030395507812,,
0,899,0.6875,0.5342209339141846,,
0,949,1.0,0.1430460810661316,,
0,999,0.9375,0.2755279541015625,,
0,1049,0.5625,0.919036865234375,,
0,1099,0.9375,0.2234964370727539,,
0,1149,0.875,0.2968183159828186,,
0,1199,0.8125,0.4924194812774658,,
0,1249,0.875,0.22665947675704956,,
0,1250,,,0.7828086018562317,0.6224644780158997
1,1299,0.9375,0.3920023441314697,,
1,1349,0.9375,0.22433412075042725,,
1,1399,0.875,0.26864075660705566,,
1,1449,0.875,0.3720740079879761,,
1,1499,0.9375,0.23644161224365234,,
1,1549,0.8125,0.4142456650733948,,
1,1599,0.9375,0.2096174955368042,,
1,1649,0.9375,0.1223045215010643,,
1,1699,0.75,0.42946141958236694,,
1,1749,0.9375,0.28931546211242676,,
1,1799,0.875,0.2706228792667389,,
1,1849,0.875,0.32518571615219116,,
1,1899,0.75,0.47132301330566406,,
1,1949,0.875,0.2562335729598999,,
1,1999,0.8125,0.3951130211353302,,
1,2049,0.875,0.3967626690864563,,
1,2099,0.9375,0.3302425146102905,,
1,2149,0.75,0.283804714679718,,
1,2199,0.875,0.16753442585468292,,
1,2249,0.875,0.3919978737831116,,
1,2299,0.875,0.27691105008125305,,
1,2349,0.8125,0.35524213314056396,,
1,2399,0.9375,0.276187002658844,,
1,2449,0.875,0.26170241832733154,,
1,2499,0.9375,0.11329829692840576,,
1,2501,,,0.8934532999992371,0.31133028864860535
2,2549,0.875,0.16951154172420502,,
2,2599,0.9375,0.15337073802947998,,
2,2649,0.9375,0.21646803617477417,,
2,2699,1.0,0.043252408504486084,,
2,2749,1.0,0.04164055734872818,,
2,2799,1.0,0.05572988837957382,,
2,2849,0.9375,0.16906914114952087,,
2,2899,0.875,0.22254455089569092,,
2,2949,0.875,0.22414135932922363,,
2,2999,0.9375,0.18565472960472107,,
2,3049,0.9375,0.13786426186561584,,
2,3099,1.0,0.03421416133642197,,
2,3149,0.8125,0.24717465043067932,,
2,3199,0.875,0.16944532096385956,,
2,3249,1.0,0.02600371092557907,,
2,3299,1.0,0.037757568061351776,,
2,3349,0.9375,0.1263379007577896,,
2,3399,0.8125,0.4342578053474426,,
2,3449,0.9375,0.0801381841301918,,
2,3499,1.0,0.008181266486644745,,
2,3549,1.0,0.021168336272239685,,
2,3599,1.0,0.019684836268424988,,
2,3649,0.75,0.3909442126750946,,
2,3699,1.0,0.04385535418987274,,
2,3749,0.9375,0.3074454665184021,,
2,3752,,,0.9181409478187561,0.2882298529148102
3,3799,0.9375,0.18883773684501648,,
3,3849,0.9375,0.3301538825035095,,
3,3899,0.9375,0.10982926934957504,,
3,3949,0.8125,0.33745259046554565,,
3,3999,0.9375,0.07702697068452835,,
3,4049,0.9375,0.2686029076576233,,
3,4099,0.9375,0.09739705920219421,,
3,4149,1.0,0.0027670934796333313,,
3,4199,0.9375,0.2935165464878082,,
3,4249,0.9375,0.12137176096439362,,
3,4299,0.9375,0.2433708757162094,,
3,4349,0.8125,0.24539998173713684,,
3,4399,0.9375,0.15052413940429688,,
3,4449,1.0,0.006396643817424774,,
3,4499,1.0,0.023964017629623413,,
3,4549,1.0,0.008593238890171051,,
3,4599,1.0,0.015877410769462585,,
3,4649,0.9375,0.1775471270084381,,
3,4699,1.0,0.019037805497646332,,
3,4749,0.9375,0.14569412171840668,,
3,4799,1.0,0.05381005257368088,,
3,4849,0.875,0.20840352773666382,,
3,4899,0.9375,0.16375884413719177,,
3,4949,1.0,0.02354363352060318,,
3,4999,1.0,0.04794237017631531,,
3,5003,,,0.9114443063735962,0.3900175094604492
4,5049,0.9375,0.2379600703716278,,
4,5099,1.0,0.01101742684841156,,
4,5149,1.0,0.025989942252635956,,
4,5199,1.0,0.03672295808792114,,
